feature,role,feature_set,baseline_handling,sentinel_rule,field_definition,semantic_category,attacker_visible,agent_mutability,action_scope,valid_domain,replacement_rule,relationship_constraints,edit_budget_cost,attacker_instruction,governance_status,evidence_strength,evidence_source_keys,evidence_locations,status,rationale,policy_version,data_type,domain_mode,lower_bound,upper_bound,allowed_values_json,sentinel_spec_json,sentinel_policy,hard_constraints_json,agent_action_mode,proxy_action_key,proxy_mapping_json,support_split
fraud_bool,target,none,Use only as binary prediction target; never include in X,none,"Binary fraud label; 1 fraudulent application, 0 legitimate application.",experimental_internal_hidden,no,not_applicable,hidden,"{0,1}",none,Researcher-only target; never enter observation or action space.,0; not in attacker action space,"MUST NOT expose, modify, infer from metadata, or include in prompts.",frozen_project_rule,high,BAF-Q8; EXPERIMENT_SPEC,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | ../../EXPERIMENT_SPEC.md,frozen,BAF Datasheet Q8 defines fraud_bool as the label,attack-governance-v2.0.0,binary,excluded,0,1,"[0,1]",{},none,"[{""type"":""not_in_action_space""}]",none,,{},train_months_0_5
month,split_only,none,"Use only for months 0-5 train, 6 development, 7 final test; never include in X",none,"Application month index, ranging from 0 to 7.",experimental_internal_hidden,no,not_applicable,hidden,"{0,1,2,3,4,5,6,7}",none,"Split-only: months 0-5 train, 6 development, 7 untouched final test.",0; not in attacker action space,"MUST NOT expose, modify, or use to choose an attack.",frozen_project_rule,high,BAF-Q7/Q11; EXPERIMENT_SPEC,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | ../../EXPERIMENT_SPEC.md,frozen,Temporal partition variable; month 7 is prohibited from selection,attack-governance-v2.0.0,integer,excluded,0,7,"[0,1,2,3,4,5,6,7]",{},none,"[{""type"":""not_in_action_space""}]",none,,{},train_months_0_5
income,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Applicant annual income in decile form.,direct_applicant_declared,yes,allowed,per_attempt,"[0.1,0.9], restricted to month-0-5 observed support",All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,No sentinel generation; numeric type preserved.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and valid support.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058,working,Applicant-derived numeric feature,attack-governance-v2.0.0,float,bounded_train_support,0.1,0.9,[],{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
name_email_similarity,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,Derived similarity metric between the application email and applicant name; higher means more similar.,identity_related_constrained,proxy_only,allowed,per_attempt,"[0,1], restricted to month-0-5 observed support",Agent chooses an abstract name-email alignment action on each submission; the environment maps it to a pre-registered train-supported value.,Do not present the scalar as a real-world form field; abstract proxy only. No hard rule forces co-change with email_is_free.,1 per submitted field that differs from the anchor,MAY change on each submission via the abstract name_email_alignment action; MUST NOT directly optimise an unrestricted floating-point score.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Derived consistency feature; per-attempt under governance v2.0.0,attack-governance-v2.0.0,float,proxy_action,0,1,[],{},none,"[{""type"":""domain""},{""type"":""no_direct_value""}]",proxy_action,name_email_alignment,"{""strategy"":""train_quantile_nearest"",""seed"":20260801,""actions"":{""low_alignment"":{""quantile"":0.2},""typical_alignment"":{""quantile"":0.5},""high_alignment"":{""quantile"":0.8}}}",train_months_0_5
prev_address_months_count,input_candidate,core,Convert official sentinel to missing; subsequent imputation fitted on train only,-1 -> missing,Months at the applicant's previous registered address.,identity_related_constrained,yes,allowed_if_episode_locked,episode_static,"official [-1,380]; replacement uses non-sentinel month-0-5 support, while an anchor -1 may be retained",Choose once from pre-registered train-supported values; do not create -1 as an evasion action.,Hold constant across the episode; preserve integer-like months and evaluate coherence with age/current-address history.,1 per submitted field that differs from the anchor,MAY change once before the first submission; MUST remain fixed thereafter.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,frozen_sentinel,BAF Datasheet Q7,attack-governance-v2.0.0,integer,bounded_train_support,-1,380,[],"{""kind"":""values"",""values"":[-1]}",retain_anchor_only,"[{""type"":""domain""},{""type"":""episode_lock_on_first_submission""},{""type"":""sentinel_retain_anchor_only""},{""type"":""conditional_train_range"",""condition_fields"":[""customer_age""],""condition_binning"":{""customer_age"":10}}]",raw_value,,{},train_months_0_5
current_address_months_count,input_candidate,core,Convert official sentinel to missing; subsequent imputation fitted on train only,-1 -> missing,Months at the applicant's current registered address.,identity_related_constrained,yes,allowed_if_episode_locked,episode_static,"official [-1,429]; replacement uses non-sentinel month-0-5 support, while an anchor -1 may be retained",Choose once from pre-registered train-supported values; do not create -1 as an evasion action.,Hold constant across the episode; preserve integer-like months and evaluate coherence with age/previous-address history.,1 per submitted field that differs from the anchor,MAY change once before the first submission; MUST remain fixed thereafter.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,frozen_sentinel,BAF Datasheet Q7,attack-governance-v2.0.0,integer,bounded_train_support,-1,429,[],"{""kind"":""values"",""values"":[-1]}",retain_anchor_only,"[{""type"":""domain""},{""type"":""episode_lock_on_first_submission""},{""type"":""sentinel_retain_anchor_only""},{""type"":""conditional_train_range"",""condition_fields"":[""customer_age""],""condition_binning"":{""customer_age"":10}}]",raw_value,,{},train_months_0_5
customer_age,input_candidate,core,Retain; model-specific preprocessing fitted on train only,none,"Applicant age in years, rounded to the decade.",identity_related_constrained,yes,allowed_if_episode_locked,episode_static,"[10,90], restricted to month-0-5 observed decade values",Choose once from pre-registered train-supported decade values.,Hold constant across the episode; check coherence with address and account-history durations.,1 per submitted field that differs from the anchor,MAY change once before the first submission; MUST remain fixed thereafter.,frozen_attacker_rule,medium,BAF-Q7/Q33; Federal-Reserve-2019; Simonetto-2024-S3; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm | https://proceedings.neurips.cc/paper_files/paper/2024/hash/3106a1387b24c33bf66682e7ff393d56-Abstract-Conference.html | https://arxiv.org/abs/2208.13058,working,Applicant-derived numeric feature; fairness interpretation may be required,attack-governance-v2.0.0,integer,bounded_train_support,10,90,[],{},none,"[{""type"":""domain""},{""type"":""episode_lock_on_first_submission""}]",raw_value,,{},train_months_0_5
days_since_request,excluded,none,"Exclude from core, extended and all model experiments",none,Days elapsed since the application was made.,experimental_internal_hidden,no,not_applicable,excluded,"[0,79]",none,Excluded from every statistical feature set and attack space.,0; not in attacker action space,MUST NOT expose or modify.,frozen_project_rule,high,BAF-Q7; DECISION_LOG-2026-07-28,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | ../logs/DECISION_LOG.md,frozen_exclusion,"Codebook: days elapsed since application; prediction-time availability is ambiguous. Exclusion is a scope/construct-validity decision, not a finding of confirmed leakage",attack-governance-v2.0.0,float,excluded,0,79,[],{},none,"[{""type"":""not_in_action_space""}]",none,,{},train_months_0_5
intended_balcon_amount,input_candidate,core,Convert all official sentinel values to missing; subsequent imputation fitted on train only,value < 0 -> missing,Initial transferred amount for the application.,direct_applicant_declared,yes,allowed,per_attempt,"official [-16,114]; replacement uses non-negative month-0-5 support, while an anchor negative sentinel may be retained",Choose from pre-registered non-sentinel train support; do not create a negative sentinel as an evasion action.,Numeric type preserved.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and valid support.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058,frozen_sentinel,BAF Datasheet Q7,attack-governance-v2.0.0,float,bounded_train_support,-16,114,[],"{""kind"":""predicate"",""operator"":""lt"",""value"":0}",retain_anchor_only,"[{""type"":""domain""},{""type"":""sentinel_retain_anchor_only""}]",raw_value,,{},train_months_0_5
payment_type,input_candidate,core,Retain as categorical; encoding fitted on train only,none,Anonymised credit payment-plan type.,direct_applicant_declared,yes,allowed,per_attempt,month-0-5 observed categories only (5 anonymised values),All replacement values must use the official type/domain and month-0-5 training support only; month 6/7 must never define action values.,Categorical type preserved; no unseen category creation.,1 per submitted field that differs from the anchor,MAY change on each submission within the common budget and observed categories.,frozen_attacker_rule,high,BAF-Q7/Q33; FRAUD-RLA-S2.1/S3.1; Kireev-2022-S3.3,https://github.com/feedzai/bank-account-fraud/blob/main/documents/datasheet.pdf | https://arxiv.org/abs/2502.02290 | https://arxiv.org/abs/2208.13058,working,Anonymised categorical feature,attack-governance-v2.0.0,categorical,categorical_train_support,,,[],{},none,"[{""type"":""domain""}]",raw_value,,{},train_months_0_5
