feature,role,feature_set,baseline_handling,sentinel_rule,agent_mutability,status,rationale
fraud_bool,target,none,Use only as binary prediction target; never include in X,none,not_applicable,frozen,"BAF Datasheet Q8 defines fraud_bool as the label"
month,split_only,none,"Use only for months 0-5 train, 6 development, 7 final test; never include in X",none,not_applicable,frozen,"Temporal partition variable; month 7 is prohibited from selection"
income,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"Applicant-derived numeric feature"
name_email_similarity,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"Derived consistency feature"
prev_address_months_count,input_candidate,core,"Convert official sentinel to missing; subsequent imputation fitted on train only","-1 -> missing",TBD,frozen_sentinel,"BAF Datasheet Q7"
current_address_months_count,input_candidate,core,"Convert official sentinel to missing; subsequent imputation fitted on train only","-1 -> missing",TBD,frozen_sentinel,"BAF Datasheet Q7"
customer_age,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"Applicant-derived numeric feature; fairness interpretation may be required"
days_since_request,excluded,none,"Exclude from core, extended and all model experiments",none,not_applicable,frozen_exclusion,"Codebook: days elapsed since application; prediction-time availability is ambiguous. Exclusion is a scope/construct-validity decision, not a finding of confirmed leakage"
intended_balcon_amount,input_candidate,core,"Convert all official sentinel values to missing; subsequent imputation fitted on train only","value < 0 -> missing",TBD,frozen_sentinel,"BAF Datasheet Q7"
payment_type,input_candidate,core,"Retain as categorical; encoding fitted on train only",none,TBD,working,"Anonymised categorical feature"
zip_count_4w,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"System-derived aggregate feature"
velocity_6h,input_candidate,core,"Retain observed negatives; do not reinterpret as missing without evidence",none,TBD,working,"Negative values are within the official range and are not documented sentinels"
velocity_24h,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"System-derived aggregate feature"
velocity_4w,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"System-derived aggregate feature"
bank_branch_count_8w,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"System-derived aggregate feature"
date_of_birth_distinct_emails_4w,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"System-derived aggregate feature"
employment_status,input_candidate,core,"Retain as categorical; encoding fitted on train only",none,TBD,working,"Applicant-derived categorical feature; fairness interpretation may be required"
credit_risk_score,input_candidate,optional_sensitivity,"Do not permanently delete; exclude from core and test in extended feature set; retain negative values",none,TBD,frozen_group,"Codebook: internal application risk score; circularity/timing require sensitivity analysis, but leakage is not confirmed"
email_is_free,input_candidate,core,"Retain as binary",none,TBD,working,"Derived application feature"
housing_status,input_candidate,core,"Retain as categorical; encoding fitted on train only",none,TBD,working,"Applicant-derived categorical feature"
phone_home_valid,input_candidate,core,"Retain as binary",none,TBD,working,"Derived validation feature"
phone_mobile_valid,input_candidate,core,"Retain as binary",none,TBD,working,"Derived validation feature"
bank_months_count,input_candidate,core,"Convert official sentinel to missing; subsequent imputation fitted on train only","-1 -> missing",TBD,frozen_sentinel,"BAF Datasheet Q7"
has_other_cards,input_candidate,core,"Retain as binary",none,TBD,working,"Applicant/account relationship feature"
proposed_credit_limit,input_candidate,core,"Retain; model-specific preprocessing fitted on train only",none,TBD,working,"Application feature"
foreign_request,input_candidate,core,"Retain as binary",none,TBD,working,"System-derived request feature"
source,input_candidate,core,"Retain as categorical; encoding fitted on train only",none,TBD,working,"Application channel"
session_length_in_minutes,input_candidate,core,"Convert official sentinel to missing; subsequent imputation fitted on train only","-1 -> missing",TBD,frozen_sentinel,"BAF Datasheet Q7"
device_os,input_candidate,core,"Retain as categorical; encoding fitted on train only",none,TBD,working,"Device-derived defensive candidate"
keep_alive_session,input_candidate,core,"Retain as binary",none,TBD,working,"Session-derived defensive candidate"
device_distinct_emails_8w,input_candidate,core,"Convert official sentinel to missing; subsequent imputation fitted on train only","-1 -> missing",TBD,frozen_sentinel,"Device-derived defensive candidate; BAF Datasheet Q7 calls it device_distinct_emails"
device_fraud_count,excluded,none,"Exclude from Base-dataset baseline because it is constant",none,not_applicable,frozen_exclusion,"Codebook: number of historical fraudulent applications using the device; audited Base.csv has value 0 in every row, so the feature has zero variance"
